    Floating Parameter  InitialValue    FinalValue +/-  Error     GblCorr.
params_low_frac_010_GLW_plus    7.0000e-01    7.9529e-01 +/-  3.40e-01  <none>
params_low_frac_010_Kpi    7.0000e-01    6.9221e-01 +/-  2.06e-02  <none>
params_shift    0.0000e+00    3.8392e-01 +/-  1.61e-01  <none>
params_signal_sigma_L    1.2125e+01    1.1776e+01 +/-  2.23e-01  <none>
params_slope_KK   -5.0000e-03   -4.9345e-03 +/-  2.82e-04  <none>
params_slope_Kpi   -5.0000e-03   -4.8895e-03 +/-  1.27e-04  <none>
params_slope_Kpipipi   -5.0000e-03   -5.0130e-03 +/-  1.61e-04  <none>
params_slope_pipi   -5.0000e-03   -5.2316e-03 +/-  2.68e-04  <none>
params_slope_pipipipi   -5.0000e-03   -5.0279e-03 +/-  2.78e-04  <none>

