 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run1 -8.91947e-05 8.85581e-05 0.000115292 -0.000122253 1.83863e-05 7.39048e-07 -1.39431e-05 -1.54721e-05 1.57094e-05 1.31858e-05 -6.23101e-05 -5.62446e-05
A_signal_pipi_run1 -7.61714e-05 6.68652e-05 3.40486e-05 -0.000174843 1.38057e-05 -9.70913e-05 -1.6697e-05 -1.70441e-05 1.21867e-05 1.20215e-05 -5.01946e-05 -4.42719e-05
R_signal_KK_run1 -0.000217009 0.000190646 0.00062487 0.000195557 4.3699e-05 0.000417285 -1.80487e-05 -2.29846e-05 4.26631e-05 3.80334e-05 -0.000118369 -0.000107281
R_signal_pipi_run1 0.00048523 -0.000337542 0.000155795 0.00176531 -7.89537e-05 0.00117222 8.3107e-05 9.84313e-05 -5.95281e-05 -5.02615e-05 0.000363964 0.0003312
R_signal_piK_run1_plus -3.5529e-05 2.6199e-05 4.53098e-05 -3.94189e-05 5.63651e-06 -1.14439e-05 1.92603e-05 6.73968e-06 8.76815e-06 7.66171e-06 -2.21528e-05 -2.12067e-05
R_signal_piK_run1_minus 4.59636e-05 -3.72759e-05 -5.99721e-06 0.000135485 -9.6327e-06 6.04784e-05 2.07246e-05 3.2387e-05 -3.15402e-06 -1.78434e-06 3.47919e-05 3.29105e-05
R_signal_piKpipi_run1_plus 5.40328e-05 -4.79172e-05 -1.8204e-05 0.000144202 -9.32708e-06 6.88588e-05 1.51117e-05 1.63457e-05 3.32479e-05 1.47513e-05 4.03525e-05 3.73882e-05
R_signal_piKpipi_run1_minus 5.2615e-05 -4.13829e-05 -1.75532e-05 0.000145324 -1.58072e-05 7.20317e-05 1.5255e-05 1.73476e-05 1.60399e-05 3.2659e-05 3.77444e-05 3.77162e-05
A_signal_Kpi_run1 9.93756e-05 -8.34584e-05 -0.0001004 0.000181359 -1.76796e-05 6.61821e-05 1.52345e-05 1.80268e-05 -1.58994e-05 -1.33275e-05 7.65541e-05 7.13538e-05
A_signal_Kpipipi_run1 0.000115635 -0.000100313 -0.00012516 0.000205132 -1.98465e-05 7.90632e-05 1.73615e-05 1.99171e-05 -1.88289e-05 -1.61494e-05 9.35588e-05 8.88165e-05
