 A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus A_signal_Kpi_run2 A_signal_Kpipipi_run2
A_signal_KK_run1 -0.00426914 0.00313379 0.00573141 -0.00324726 0.000769026 2.79227e-05 -0.00327757 -0.00389601 0.00324364 0.00287763 -0.0103728 -0.00818599
A_signal_pipi_run1 -0.00251884 0.00163474 0.00116941 -0.00320859 0.000398945 -0.00253439 -0.00271169 -0.00296519 0.00173847 0.00181257 -0.00577303 -0.00445171
R_signal_KK_run1 -0.0105154 0.00682992 0.0314484 0.00525871 0.0018504 0.0159612 -0.00429524 -0.00585944 0.0089181 0.00840313 -0.0199491 -0.0158074
R_signal_pipi_run1 0.0111637 -0.00574151 0.00372282 0.0225391 -0.00158736 0.0212888 0.00939047 0.0119141 -0.00590815 -0.00527255 0.0291241 0.0231706
R_signal_piK_run1_plus -0.00845753 0.00461088 0.0112024 -0.0052074 0.00117251 -0.00215039 0.0225171 0.00844051 0.00900407 0.00831595 -0.0183411 -0.0153505
R_signal_piK_run1_minus 0.00982843 -0.00589302 -0.00133192 0.0160775 -0.00179996 0.0102083 0.0217645 0.0364342 -0.00290941 -0.00173969 0.0258753 0.021399
R_signal_piKpipi_run1_plus 0.00910702 -0.00597103 -0.00318673 0.013488 -0.00137376 0.00916139 0.012509 0.0144941 0.0241743 0.0113364 0.0236551 0.0191621
R_signal_piKpipi_run1_minus 0.00918382 -0.00534039 -0.00318221 0.0140769 -0.00241108 0.00992477 0.0130772 0.0159302 0.0120778 0.0259921 0.0229141 0.0200184
A_signal_Kpi_run1 0.0168825 -0.0104826 -0.0177155 0.0170983 -0.00262467 0.00887527 0.012711 0.0161118 -0.0116523 -0.0103237 0.0452338 0.0368608
A_signal_Kpipipi_run1 0.0166018 -0.0106478 -0.0186633 0.0163439 -0.00248996 0.00896027 0.0122417 0.0150439 -0.0116616 -0.0105717 0.0467181 0.0387745
