 A_signal_KK A_signal_pipi R_signal_KK R_signal_pipi A_signal_pipipipi R_signal_pipipipi R_signal_piK_plus R_signal_piK_minus R_signal_piKpipi_plus R_signal_piKpipi_minus
A_signal_KK 1 0.720301 0.308995 -0.652373 0.310668 -0.364454 -0.148231 -0.62694 -0.670237 -0.660189
A_signal_pipi 0.720301 1 0.39114 -0.773123 0.193775 -0.334383 -0.158464 -0.766984 -0.791294 -0.753772
R_signal_KK 0.308995 0.39114 1 -0.448357 0.089022 -0.147953 0.00435007 -0.485818 -0.555567 -0.54189
R_signal_pipi -0.652373 -0.773123 -0.448357 1 -0.153994 0.321715 0.105017 0.815031 0.814694 0.808802
A_signal_pipipipi 0.310668 0.193775 0.089022 -0.153994 1 -0.0957756 -0.0186414 -0.162472 -0.135646 -0.19932
R_signal_pipipipi -0.364454 -0.334383 -0.147953 0.321715 -0.0957756 1 0.0549291 0.330085 0.351321 0.369153
R_signal_piK_plus -0.148231 -0.158464 0.00435007 0.105017 -0.0186414 0.0549291 1 0.103266 0.115778 0.120125
R_signal_piK_minus -0.62694 -0.766984 -0.485818 0.815031 -0.162472 0.330085 0.103266 1 0.830013 0.8103
R_signal_piKpipi_plus -0.670237 -0.791294 -0.555567 0.814694 -0.135646 0.351321 0.115778 0.830013 1 0.852665
R_signal_piKpipi_minus -0.660189 -0.753772 -0.54189 0.808802 -0.19932 0.369153 0.120125 0.8103 0.852665 1
